0.025000 	 0.000000
0.075000 	 0.000000
0.125000 	 0.000000
0.175000 	 0.000000
0.225000 	 0.000000
0.275000 	 0.000000
0.325000 	 0.000000
0.375000 	 0.000000
0.425000 	 0.000000
0.475000 	 0.000000
0.525000 	 0.000000
0.575000 	 0.000000
0.625000 	 0.000000
0.675000 	 0.000000
0.725000 	 0.000000
0.775000 	 0.000000
0.825000 	 0.000000
0.875000 	 0.000040
0.925000 	 0.023422
0.975000 	 0.439657
1.025000 	 1.533410
1.075000 	 2.265080
1.125000 	 2.234250
1.175000 	 1.867550
1.225000 	 1.485850
1.275000 	 1.186610
1.325000 	 0.973931
1.375000 	 0.828120
1.425000 	 0.731106
1.475000 	 0.670408
1.525000 	 0.637173
1.575000 	 0.627233
1.625000 	 0.637683
1.675000 	 0.668576
1.725000 	 0.719598
1.775000 	 0.790300
1.825000 	 0.876458
1.875000 	 0.969957
1.925000 	 1.061300
1.975000 	 1.143180
2.025000 	 1.208410
2.075000 	 1.246650
2.125000 	 1.250890
2.175000 	 1.221150
2.225000 	 1.168160
2.275000 	 1.104800
2.325000 	 1.042210
2.375000 	 0.987593
2.425000 	 0.944844
2.475000 	 0.915502
