# Time-averaged data for fix rgnetA
# TimeStep c_gyrA
10000 32.7864
20000 32.7952
30000 32.8018
40000 32.8098
50000 32.8159
60000 32.8187
70000 32.8223
80000 32.8314
90000 32.8415
100000 32.8544
110000 32.8665
120000 32.8764
130000 32.8854
140000 32.8935
150000 32.9013
160000 32.9083
170000 32.9128
180000 32.915
190000 32.9184
200000 32.9221
210000 32.9281
220000 32.9325
230000 32.9376
240000 32.9431
250000 32.9489
260000 32.9539
270000 32.958
280000 32.9608
290000 32.9633
300000 32.9645
310000 32.9669
320000 32.9686
330000 32.9685
340000 32.9682
350000 32.967
360000 32.966
370000 32.9659
380000 32.9651
390000 32.9641
400000 32.9636
410000 32.9633
420000 32.9626
430000 32.9618
440000 32.9601
450000 32.9586
460000 32.9589
470000 32.959
480000 32.9597
490000 32.9608
500000 32.9614
510000 32.9623
520000 32.9638
530000 32.9655
540000 32.9672
550000 32.9692
560000 32.9709
570000 32.9722
580000 32.9733
590000 32.9735
600000 32.9729
610000 32.9724
620000 32.9722
630000 32.9722
640000 32.9721
650000 32.9725
660000 32.9729
670000 32.9736
680000 32.9749
690000 32.9768
700000 32.9786
710000 32.9806
720000 32.9831
730000 32.9852
740000 32.9881
750000 32.9912
760000 32.9942
770000 32.9969
780000 32.9998
790000 33.0021
800000 33.0051
810000 33.0092
820000 33.014
830000 33.0183
840000 33.0217
850000 33.0253
860000 33.0291
870000 33.0326
880000 33.0363
890000 33.0393
900000 33.042
910000 33.045
920000 33.0482
930000 33.0515
940000 33.0548
950000 33.0585
960000 33.0618
970000 33.0654
980000 33.0692
990000 33.0729
1000000 33.0762
1010000 33.0798
1020000 33.084
1030000 33.0883
1040000 33.0923
1050000 33.0957
1060000 33.099
1070000 33.1021
1080000 33.1051
1090000 33.1081
1100000 33.1112
1110000 33.1148
1120000 33.1186
1130000 33.1222
1140000 33.1261
1150000 33.1301
1160000 33.1342
1170000 33.1387
1180000 33.1428
1190000 33.1466
1200000 33.1499
1210000 33.1527
1220000 33.156
1230000 33.1594
1240000 33.1629
1250000 33.1657
1260000 33.169
1270000 33.1724
1280000 33.1758
1290000 33.1794
1300000 33.183
1310000 33.1863
1320000 33.1892
1330000 33.1924
1340000 33.1958
1350000 33.1991
1360000 33.2021
1370000 33.2054
1380000 33.2087
1390000 33.2117
1400000 33.2145
1410000 33.2175
1420000 33.2206
1430000 33.2237
1440000 33.2269
1450000 33.2305
1460000 33.2343
1470000 33.2379
1480000 33.2413
1490000 33.2443
1500000 33.2472
1510000 33.2498
1520000 33.2523
1530000 33.2545
1540000 33.2566
1550000 33.2587
1560000 33.2608
1570000 33.2627
1580000 33.2645
1590000 33.2662
1600000 33.2682
1610000 33.27
1620000 33.2717
1630000 33.2732
1640000 33.275
1650000 33.277
1660000 33.2788
1670000 33.2805
1680000 33.2821
1690000 33.2835
1700000 33.2848
1710000 33.286
1720000 33.2872
1730000 33.2881
1740000 33.2888
1750000 33.2896
1760000 33.2905
1770000 33.2912
1780000 33.2919
1790000 33.2929
1800000 33.2939
1810000 33.2952
1820000 33.2965
1830000 33.2979
1840000 33.2994
1850000 33.3011
1860000 33.3025
1870000 33.3039
1880000 33.3052
1890000 33.3066
1900000 33.308
1910000 33.3096
1920000 33.3112
1930000 33.3128
1940000 33.3144
1950000 33.3159
1960000 33.3174
1970000 33.3187
1980000 33.3202
1990000 33.322
2000000 33.3239
2010000 33.3256
2020000 33.3273
2030000 33.3285
2040000 33.3299
2050000 33.3317
2060000 33.3333
2070000 33.335
2080000 33.3365
2090000 33.3378
2100000 33.3391
2110000 33.3406
2120000 33.3422
2130000 33.3441
2140000 33.346
2150000 33.348
2160000 33.3502
2170000 33.3521
2180000 33.3542
2190000 33.3564
2200000 33.3587
2210000 33.3612
2220000 33.3638
2230000 33.3662
2240000 33.3687
2250000 33.3711
2260000 33.3736
2270000 33.3763
2280000 33.3789
2290000 33.3814
2300000 33.3838
2310000 33.3861
2320000 33.3884
2330000 33.3906
2340000 33.3929
2350000 33.3951
2360000 33.3974
2370000 33.3999
2380000 33.4023
2390000 33.4044
2400000 33.4062
2410000 33.4079
2420000 33.4097
2430000 33.4113
2440000 33.413
2450000 33.4147
2460000 33.4165
2470000 33.4185
2480000 33.4204
2490000 33.4224
2500000 33.4246
2510000 33.4268
2520000 33.4289
2530000 33.431
2540000 33.4329
2550000 33.4347
2560000 33.4366
