# Time-averaged data for fix rgnetA
# TimeStep c_gyrA
10000 30.8751
20000 30.8887
30000 30.882
40000 30.8751
50000 30.8657
60000 30.8631
70000 30.868
80000 30.8719
90000 30.8772
100000 30.8773
110000 30.8769
120000 30.8759
130000 30.8772
140000 30.8814
150000 30.8878
160000 30.8943
170000 30.8997
180000 30.902
190000 30.9044
200000 30.9082
210000 30.9115
220000 30.9144
230000 30.9182
240000 30.922
250000 30.9243
260000 30.9267
270000 30.9297
280000 30.9315
290000 30.9339
300000 30.9366
310000 30.9395
320000 30.9431
330000 30.9463
340000 30.9501
350000 30.9549
360000 30.9599
370000 30.9645
380000 30.9685
390000 30.9722
400000 30.9754
410000 30.9785
420000 30.9813
430000 30.9844
440000 30.9867
450000 30.9891
460000 30.9914
470000 30.9925
480000 30.993
490000 30.9938
500000 30.9942
510000 30.9946
520000 30.995
530000 30.9949
540000 30.9956
550000 30.9965
560000 30.9972
570000 30.9977
580000 30.9982
590000 30.9986
600000 30.9999
610000 31.0012
620000 31.0028
630000 31.0044
640000 31.0059
650000 31.0077
660000 31.0096
670000 31.0118
680000 31.0137
690000 31.0161
700000 31.0183
710000 31.0208
720000 31.0235
730000 31.0265
740000 31.0293
750000 31.0321
760000 31.0348
770000 31.0374
780000 31.04
790000 31.0423
800000 31.044
810000 31.0454
820000 31.0468
830000 31.0479
840000 31.049
850000 31.0494
860000 31.0498
870000 31.0508
880000 31.0521
890000 31.0533
900000 31.0544
910000 31.056
920000 31.0576
930000 31.059
940000 31.0608
950000 31.0624
960000 31.0636
970000 31.0646
980000 31.0655
990000 31.0663
1000000 31.0669
1010000 31.0676
1020000 31.0686
1030000 31.0698
1040000 31.0711
1050000 31.0725
1060000 31.0736
1070000 31.0749
1080000 31.0765
1090000 31.0784
1100000 31.0805
1110000 31.0824
1120000 31.0842
1130000 31.0859
1140000 31.0875
1150000 31.0891
1160000 31.0906
1170000 31.092
1180000 31.0934
1190000 31.0947
1200000 31.0962
1210000 31.0978
1220000 31.0997
1230000 31.1017
1240000 31.1032
1250000 31.1046
1260000 31.106
1270000 31.1074
1280000 31.1089
1290000 31.1106
1300000 31.1125
1310000 31.1139
1320000 31.115
1330000 31.1162
1340000 31.1172
1350000 31.1182
1360000 31.1191
1370000 31.1201
1380000 31.1214
1390000 31.1225
1400000 31.1234
1410000 31.1243
1420000 31.125
1430000 31.1256
1440000 31.1258
1450000 31.1261
1460000 31.1264
1470000 31.1268
1480000 31.1273
1490000 31.1278
1500000 31.1283
1510000 31.129
1520000 31.1298
1530000 31.1306
1540000 31.1312
1550000 31.1314
1560000 31.1317
1570000 31.1324
1580000 31.1332
1590000 31.134
1600000 31.1344
1610000 31.1348
1620000 31.1353
1630000 31.136
1640000 31.137
1650000 31.1377
1660000 31.1384
1670000 31.1389
1680000 31.1393
1690000 31.1401
1700000 31.141
1710000 31.142
1720000 31.1434
1730000 31.1448
1740000 31.1462
1750000 31.1477
1760000 31.1492
1770000 31.1507
1780000 31.1522
1790000 31.1537
1800000 31.1554
1810000 31.1571
1820000 31.1588
1830000 31.1602
1840000 31.1615
1850000 31.163
1860000 31.1643
1870000 31.1658
1880000 31.1675
1890000 31.169
1900000 31.1705
1910000 31.1721
1920000 31.1739
1930000 31.1755
1940000 31.1771
1950000 31.1786
1960000 31.1801
1970000 31.1817
1980000 31.1831
1990000 31.1845
2000000 31.186
2010000 31.1874
2020000 31.1888
2030000 31.1905
2040000 31.1923
2050000 31.1941
2060000 31.196
2070000 31.1979
2080000 31.1998
2090000 31.2016
2100000 31.2034
2110000 31.205
2120000 31.2065
2130000 31.208
2140000 31.2097
2150000 31.2114
2160000 31.2131
2170000 31.2147
2180000 31.2164
2190000 31.2181
2200000 31.2197
2210000 31.2214
2220000 31.2233
2230000 31.2253
2240000 31.2273
2250000 31.2293
2260000 31.2312
2270000 31.2329
2280000 31.2346
2290000 31.2364
2300000 31.2382
2310000 31.24
2320000 31.2418
2330000 31.2436
2340000 31.2453
2350000 31.2469
2360000 31.2484
2370000 31.25
2380000 31.2515
2390000 31.253
2400000 31.2543
2410000 31.2558
2420000 31.2571
2430000 31.2583
2440000 31.2595
2450000 31.2606
2460000 31.2615
2470000 31.2623
2480000 31.263
2490000 31.2637
2500000 31.2644
2510000 31.2651
2520000 31.266
2530000 31.267
2540000 31.2679
2550000 31.2687
2560000 31.2695
2570000 31.2702
2580000 31.2708
2590000 31.2715
2600000 31.2721
2610000 31.2729
2620000 31.2738
2630000 31.2745
2640000 31.2751
2650000 31.2757
2660000 31.2765
2670000 31.2773
2680000 31.2781
2690000 31.2791
2700000 31.28
2710000 31.2809
2720000 31.2817
2730000 31.2824
2740000 31.2831
2750000 31.2838
2760000 31.2844
2770000 31.2851
2780000 31.2857
2790000 31.2863
2800000 31.287
2810000 31.2878
2820000 31.2885
2830000 31.2892
2840000 31.2897
2850000 31.2902
2860000 31.2908
2870000 31.2912
2880000 31.2915
2890000 31.2917
2900000 31.2921
2910000 31.2924
2920000 31.2929
2930000 31.2935
2940000 31.2941
2950000 31.2946
2960000 31.2951
2970000 31.2957
2980000 31.2962
2990000 31.2968
3000000 31.2975
3010000 31.2982
3020000 31.2988
3030000 31.2995
3040000 31.3001
3050000 31.3009
3060000 31.3018
3070000 31.3028
3080000 31.3037
3090000 31.3046
3100000 31.3055
3110000 31.3065
3120000 31.3075
3130000 31.3086
3140000 31.3099
3150000 31.3112
3160000 31.3125
3170000 31.3137
3180000 31.315
3190000 31.3162
3200000 31.3171
3210000 31.318
3220000 31.319
3230000 31.32
3240000 31.3208
3250000 31.3216
3260000 31.3224
3270000 31.3232
3280000 31.3239
3290000 31.3246
3300000 31.3253
3310000 31.326
3320000 31.3268
3330000 31.3274
3340000 31.3281
3350000 31.3288
3360000 31.3294
3370000 31.3301
3380000 31.3307
3390000 31.3313
3400000 31.3321
3410000 31.3328
3420000 31.3336
3430000 31.3343
3440000 31.3348
3450000 31.3355
3460000 31.3361
3470000 31.3367
3480000 31.3373
3490000 31.338
3500000 31.3387
3510000 31.3394
3520000 31.34
3530000 31.3407
3540000 31.3414
3550000 31.342
3560000 31.3426
3570000 31.3433
3580000 31.3439
3590000 31.3446
3600000 31.3452
3610000 31.3458
3620000 31.3464
3630000 31.3468
3640000 31.3471
3650000 31.3475
3660000 31.348
3670000 31.3487
3680000 31.3494
3690000 31.3501
3700000 31.3508
3710000 31.3514
3720000 31.3521
3730000 31.3526
3740000 31.3531
3750000 31.3536
3760000 31.3541
3770000 31.3546
3780000 31.3553
3790000 31.356
3800000 31.3567
3810000 31.3575
3820000 31.3581
3830000 31.3587
3840000 31.3592
3850000 31.3597
3860000 31.3602
3870000 31.3608
3880000 31.3614
3890000 31.3619
3900000 31.3626
3910000 31.3632
3920000 31.3638
3930000 31.3644
3940000 31.3651
3950000 31.3658
3960000 31.3665
3970000 31.3673
3980000 31.3681
3990000 31.369
4000000 31.3698
4010000 31.3705
4020000 31.3713
4030000 31.3722
4040000 31.3731
4050000 31.374
4060000 31.375
4070000 31.3759
4080000 31.3767
4090000 31.3776
4100000 31.3785
4110000 31.3794
4120000 31.3803
4130000 31.3811
4140000 31.382
4150000 31.3827
4160000 31.3834
4170000 31.3842
4180000 31.385
4190000 31.3858
4200000 31.3865
4210000 31.3871
4220000 31.3878
4230000 31.3885
4240000 31.389
4250000 31.3895
4260000 31.39
4270000 31.3906
4280000 31.3912
4290000 31.3918
4300000 31.3924
4310000 31.3931
4320000 31.3939
4330000 31.3947
4340000 31.3954
4350000 31.3961
4360000 31.3969
4370000 31.3976
4380000 31.3982
4390000 31.3988
4400000 31.3995
4410000 31.4001
4420000 31.4006
4430000 31.401
4440000 31.4016
4450000 31.4022
4460000 31.4028
4470000 31.4035
4480000 31.4041
4490000 31.4047
4500000 31.4054
4510000 31.406
4520000 31.4067
4530000 31.4075
4540000 31.4083
4550000 31.4091
4560000 31.4099
4570000 31.4107
4580000 31.4116
4590000 31.4125
4600000 31.4135
4610000 31.4146
4620000 31.4156
4630000 31.4166
4640000 31.4175
4650000 31.4183
4660000 31.4193
4670000 31.4201
4680000 31.421
4690000 31.4218
4700000 31.4226
4710000 31.4233
4720000 31.424
4730000 31.4248
4740000 31.4256
4750000 31.4264
4760000 31.4272
4770000 31.428
4780000 31.4288
4790000 31.4296
4800000 31.4304
4810000 31.4311
4820000 31.4318
4830000 31.4325
4840000 31.4332
4850000 31.434
4860000 31.4348
4870000 31.4357
4880000 31.4367
4890000 31.4376
4900000 31.4385
4910000 31.4393
4920000 31.4401
4930000 31.4409
4940000 31.4417
4950000 31.4425
4960000 31.4432
4970000 31.4438
4980000 31.4444
4990000 31.4451
5000000 31.4458
5010000 31.4465
5020000 31.4472
5030000 31.4479
5040000 31.4486
5050000 31.4494
5060000 31.4501
5070000 31.4508
5080000 31.4516
5090000 31.4523
5100000 31.453
5110000 31.4538
5120000 31.4545
5130000 31.4552
5140000 31.456
5150000 31.4567
5160000 31.4575
5170000 31.4581
5180000 31.4587
5190000 31.4593
5200000 31.4599
5210000 31.4605
5220000 31.4611
5230000 31.4617
5240000 31.4622
5250000 31.4627
5260000 31.4633
5270000 31.4638
5280000 31.4643
5290000 31.4649
5300000 31.4654
5310000 31.4659
5320000 31.4665
5330000 31.467
5340000 31.4676
5350000 31.468
5360000 31.4685
5370000 31.469
5380000 31.4694
5390000 31.4698
5400000 31.4703
5410000 31.4708
5420000 31.4713
5430000 31.4718
5440000 31.4724
5450000 31.4729
5460000 31.4735
5470000 31.474
5480000 31.4746
5490000 31.4752
5500000 31.4759
5510000 31.4765
5520000 31.477
5530000 31.4776
5540000 31.4782
5550000 31.4789
5560000 31.4797
5570000 31.4804
5580000 31.4811
5590000 31.4816
5600000 31.4822
5610000 31.4828
5620000 31.4833
5630000 31.4838
5640000 31.4844
5650000 31.4849
5660000 31.4855
5670000 31.4861
5680000 31.4867
5690000 31.4873
5700000 31.4878
5710000 31.4884
5720000 31.489
5730000 31.4896
5740000 31.4901
5750000 31.4907
5760000 31.4914
5770000 31.4921
5780000 31.4927
5790000 31.4934
5800000 31.494
5810000 31.4946
5820000 31.4953
5830000 31.4961
5840000 31.4968
5850000 31.4976
5860000 31.4983
5870000 31.4991
5880000 31.4998
5890000 31.5004
5900000 31.5012
5910000 31.502
5920000 31.5028
5930000 31.5036
5940000 31.5044
5950000 31.5052
5960000 31.5059
5970000 31.5067
5980000 31.5075
5990000 31.5083
6000000 31.5091
